course_name,mean_score,median_score,std_score,n_students,low_rate
2022年度3年C組英語[中学],68.1917808219178,66.0,16.44743946151445,73,13.698630136986301
2020年度数学[中1]A組,68.875,67.0,12.165915241809223,80,2.5
2022年度3年B組英語[中学],68.96,68.0,15.403088493387786,75,13.333333333333334
2020年度数学[中2]B組,69.73972602739725,69.0,15.285275592016541,73,6.8493150684931505
2020年度数学[中3]A組,67.98701298701299,69.0,12.95487462257629,77,10.38961038961039
2020年度数学[中1]B組,68.78481012658227,69.0,13.22746839556964,79,6.329113924050633
2020年度数学[中2]C組,69.22222222222223,69.5,14.304753688573834,72,11.11111111111111
2022年度3年C組数学[中学],71.54794520547945,70.0,11.463760649070537,73,0.0
2022年度3年A組英語[中学],69.62025316455696,70.0,11.994981640272343,79,7.59493670886076
2022年度2年A組数学[中学],69.44871794871794,70.0,14.065382978610938,78,5.128205128205128
2020年度数学[中3]B組,68.57692307692308,71.0,13.331457993324369,78,7.6923076923076925
2020年度数学[中2]A組,70.96052631578948,71.5,13.010191686493258,76,6.578947368421052
2022年度2年C組数学[中学],68.8875,71.5,16.836513778170698,80,6.25
2020年度数学[中1]C組,71.08974358974359,72.0,11.577167293029959,78,1.282051282051282
2022年度1年C組英語[中学],71.5625,72.0,12.951558969747058,80,3.75
2020年度数学[中3]C組,70.42666666666666,72.0,10.223414214351202,75,1.3333333333333335
2020年度英語[中3]B組,73.3974358974359,72.5,15.247175376979081,78,6.41025641025641
2022年度3年A組数学[中学],72.12658227848101,73.0,10.996930910553031,79,2.5316455696202533
2022年度2年B組数学[中学],71.21794871794872,73.5,17.38460838571317,78,8.974358974358974
2022年度3年B組数学[中学],73.17333333333333,74.0,11.451865578377406,75,4.0
2020年度英語[中3]C組,74.85333333333334,75.0,15.841011888691254,75,5.333333333333334
2020年度英語[中2]C組,72.36111111111111,75.0,15.857024529118254,72,9.722222222222223
2022年度1年A組数学[中学],73.2375,75.5,13.791617110826621,80,2.5
2020年度英語[中3]A組,74.93506493506493,76.0,13.45395428307199,77,5.194805194805195
2020年度英語[中2]A組,73.80263157894737,77.0,16.521517070650308,76,6.578947368421052
2022年度1年C組数学[中学],76.0,77.5,10.066865060777298,80,1.25
2020年度英語[中2]B組,76.11111111111111,77.5,14.233026021684891,72,1.3888888888888888
2022年度1年B組英語[中学],75.45,78.5,16.584192565149944,80,7.5
2022年度1年A組英語[中学],76.10126582278481,79.0,15.050849653764637,79,3.79746835443038
2020年度英語[中1]C組,77.78947368421052,79.0,11.729283968691682,38,0.0
2022年度1年B組数学[中学],77.2875,79.0,11.807735878748241,80,2.5
2022年度2年A組英語[中学],77.32894736842105,80.0,15.620830671804658,76,7.894736842105263
2020年度英語[中1]A組,76.55,80.0,16.098972733591513,40,7.5
2022年度2年C組英語[中学],80.3076923076923,82.0,13.78056950579677,78,3.8461538461538463
2020年度英語[中1]B組,78.28205128205128,82.0,14.538422266439401,39,2.564102564102564
2022年度2年B組英語[中学],81.15584415584415,84.0,11.578183812517647,77,1.2987012987012987
