course_name,count,mean,median,std,min,max
2020年度数学[中1]A組,80,68.875,67.0,12.165915241809223,37.0,97.0
2020年度数学[中1]B組,79,68.78481012658227,69.0,13.22746839556964,38.0,100.0
2020年度数学[中1]C組,78,71.08974358974359,72.0,11.577167293029959,39.0,100.0
2020年度数学[中2]A組,76,70.96052631578948,71.5,13.010191686493258,38.0,90.0
2020年度数学[中2]B組,73,69.73972602739725,69.0,15.285275592016541,17.0,93.0
2020年度数学[中2]C組,72,69.22222222222223,69.5,14.304753688573834,37.0,93.0
2020年度数学[中3]A組,77,67.98701298701299,69.0,12.95487462257629,40.0,100.0
2020年度数学[中3]B組,78,68.57692307692308,71.0,13.331457993324369,34.0,96.0
2020年度数学[中3]C組,75,70.42666666666666,72.0,10.223414214351202,41.0,91.0
2020年度英語[中1]A組,40,76.55,80.0,16.098972733591513,34.0,100.0
2020年度英語[中1]B組,39,78.28205128205128,82.0,14.538422266439401,49.0,98.0
2020年度英語[中1]C組,38,77.78947368421052,79.0,11.729283968691682,55.00000000000001,96.0
2020年度英語[中2]A組,76,73.80263157894737,77.0,16.521517070650308,16.0,98.0
2020年度英語[中2]B組,72,76.11111111111111,77.5,14.233026021684891,17.0,100.0
2020年度英語[中2]C組,72,72.36111111111111,75.0,15.857024529118254,22.0,100.0
2020年度英語[中3]A組,77,74.93506493506493,76.0,13.45395428307199,44.0,99.0
2020年度英語[中3]B組,78,73.3974358974359,72.5,15.247175376979081,28.999999999999996,98.0
2020年度英語[中3]C組,75,74.85333333333334,75.0,15.841011888691254,26.0,98.0
2022年度1年A組数学[中学],80,73.2375,75.5,13.791617110826621,0.0,97.0
2022年度1年A組英語[中学],79,76.10126582278481,79.0,15.050849653764637,19.0,100.0
2022年度1年B組数学[中学],80,77.2875,79.0,11.807735878748241,41.0,100.0
2022年度1年B組英語[中学],80,75.45,78.5,16.584192565149944,23.0,98.0
2022年度1年C組数学[中学],80,76.0,77.5,10.066865060777298,48.0,95.0
2022年度1年C組英語[中学],80,71.5625,72.0,12.951558969747058,40.0,96.0
2022年度2年A組数学[中学],78,69.44871794871794,70.0,14.065382978610938,0.0,99.0
2022年度2年A組英語[中学],76,77.32894736842105,80.0,15.620830671804658,21.0,98.0
2022年度2年B組数学[中学],78,71.21794871794872,73.5,17.38460838571317,0.0,100.0
2022年度2年B組英語[中学],77,81.15584415584415,84.0,11.578183812517647,43.0,100.0
2022年度2年C組数学[中学],80,68.8875,71.5,16.836513778170698,0.0,93.0
2022年度2年C組英語[中学],78,80.3076923076923,82.0,13.78056950579677,17.0,98.0
2022年度3年A組数学[中学],79,72.12658227848101,73.0,10.996930910553031,37.0,97.0
2022年度3年A組英語[中学],79,69.62025316455696,70.0,11.994981640272343,44.0,93.0
2022年度3年B組数学[中学],75,73.17333333333333,74.0,11.451865578377406,42.0,100.0
2022年度3年B組英語[中学],75,68.96,68.0,15.403088493387786,41.0,96.0
2022年度3年C組数学[中学],73,71.54794520547945,70.0,11.463760649070537,50.0,99.0
2022年度3年C組英語[中学],73,68.1917808219178,66.0,16.44743946151445,38.0,98.0
