subject,test_label,usage_quartile,usage_quartile_jp,median_score,n_students,total_hours,weeks,avg_weekly_hours
math,2020 R2,Q1,利用時間 最少（下位25％）,73.0,30,4677.0393,24,6.495887916666667
math,2020 R2,Q2,利用時間 やや少（25–50％）,74.0,29,7345.8524,24,10.554385632183907
math,2020 R2,Q3,利用時間 やや多（50–75％）,76.0,29,10002.9644,24,14.372075287356322
math,2020 R2,Q4,利用時間 最多（上位25％）,75.0,29,16036.4857,24,23.040927729885055
math,2021 R1,Q1,利用時間 最少（下位25％）,76.5,30,6117.5378,30,6.797264222222222
math,2021 R1,Q2,利用時間 やや少（25–50％）,78.0,29,9508.4349,30,10.929235517241379
math,2021 R1,Q3,利用時間 やや多（50–75％）,72.0,29,12480.8027,30,14.345750229885057
math,2021 R1,Q4,利用時間 最多（上位25％）,77.0,29,22597.7856,30,25.97446620689655
math,2021 R2,Q1,利用時間 最少（下位25％）,61.5,28,3040.6295,28,3.8783539540816325
math,2021 R2,Q2,利用時間 やや少（25–50％）,63.0,28,5775.2762,28,7.366423724489796
math,2021 R2,Q3,利用時間 やや多（50–75％）,59.5,28,8236.7538,28,10.506063520408164
math,2021 R2,Q4,利用時間 最多（上位25％）,58.0,28,17086.3801,28,21.793852168367344
math,2022 R1,Q1,利用時間 最少（下位25％）,74.0,29,2778.1012,25,3.831863724137931
math,2022 R1,Q2,利用時間 やや少（25–50％）,74.0,29,5847.8471,25,8.065996
math,2022 R1,Q3,利用時間 やや多（50–75％）,75.0,29,8715.9615,25,12.022015862068965
math,2022 R1,Q4,利用時間 最多（上位25％）,76.0,29,17655.4388,25,24.352329379310344
english,2020 R2,Q1,利用時間 最少（下位25％）,68.5,30,118.81139999999999,24,0.16501583333333333
english,2020 R2,Q2,利用時間 やや少（25–50％）,79.0,29,604.1158,24,0.8679824712643679
english,2020 R2,Q3,利用時間 やや多（50–75％）,83.0,29,1069.8355000000001,24,1.537119971264368
english,2020 R2,Q4,利用時間 最多（上位25％）,85.0,29,3559.4915,24,5.114211925287356
english,2021 R1,Q1,利用時間 最少（下位25％）,81.0,29,103.3931,30,0.11884264367816093
english,2021 R1,Q2,利用時間 やや少（25–50％）,79.0,28,542.9472,30,0.6463657142857142
english,2021 R1,Q3,利用時間 やや多（50–75％）,85.5,28,1425.459,30,1.6969750000000001
english,2021 R1,Q4,利用時間 最多（上位25％）,82.0,29,4489.5319,30,5.160381494252873
english,2021 R2,Q1,利用時間 最少（下位25％）,75.0,28,20.7741,28,0.026497576530612247
english,2021 R2,Q2,利用時間 やや少（25–50％）,73.0,27,186.89759999999998,28,0.2472190476190476
english,2021 R2,Q3,利用時間 やや多（50–75％）,68.0,27,811.0879,28,1.0728675925925926
english,2021 R2,Q4,利用時間 最多（上位25％）,73.0,28,2537.1019,28,3.236099362244898
english,2022 R1,Q1,利用時間 最少（下位25％）,67.0,29,41.8255,25,0.057690344827586205
english,2022 R1,Q2,利用時間 やや少（25–50％）,61.5,28,153.74869999999999,25,0.21964099999999998
english,2022 R1,Q3,利用時間 やや多（50–75％）,66.0,28,500.0873,25,0.7144104285714286
english,2022 R1,Q4,利用時間 最多（上位25％）,74.0,29,2659.2983,25,3.667997655172414
